Device,Parent Device,Sensor,Location,Time,Value,Units,Status
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"29 Aug, 2020 1:00:00 PM",34,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"29 Aug, 2020 2:00:00 PM",39,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"29 Aug, 2020 3:00:00 PM",39,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"29 Aug, 2020 4:00:00 PM",34,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"29 Aug, 2020 5:00:00 PM",33,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"29 Aug, 2020 6:00:00 PM",38,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"29 Aug, 2020 7:00:00 PM",41,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"29 Aug, 2020 8:00:00 PM",35,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"29 Aug, 2020 9:00:00 PM",35,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"29 Aug, 2020 10:00:00 PM",37,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"29 Aug, 2020 11:00:00 PM",34,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 12:00:00 AM",37,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 1:00:00 AM",40,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 2:00:00 AM",52,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 3:00:00 AM",51,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 4:00:00 AM",42,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 5:00:00 AM",40,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 6:00:00 AM",40,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 7:00:00 AM",33,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 8:00:00 AM",34,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 9:00:00 AM",38,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 10:00:00 AM",40,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 11:00:00 AM",38,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 12:00:00 PM",36,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 1:00:00 PM",33,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 2:00:00 PM",39,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 3:00:00 PM",40,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 4:00:00 PM",41,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 5:00:00 PM",38,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 6:00:00 PM",35,% RH,
Average Humidity of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Humidity of Cold Aisle POD 1,,"30 Aug, 2020 7:00:00 PM",40,% RH,
